Name,Date of Birth,Height,Position,Points per Set,Aces per Set,Blocks per Set,Reception Percentage,Attack Percentage,volleybox,Nationality,League Site
Stevanović Nemanja,08/06/1989,196cm,Wing-spiker,3.15(129/41),0.39(16/41),0.17(7/41),48%(69/143),48%(106/223),https://volleybox.net/nemanja-stevanovic-p1016,SRB,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=532&PlayerID=5177&ID=78
Mandura Ivan,14/03/1997,200cm,Middle-blocker,2.28(66/29),0.21(6/29),1(29/29),44%(4/9),45%(21/47),https://volleybox.net/ivan-mandura-p59166,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=3522&ID=78
Kolarec Josip,13/06/1999,N/A,-,3.04(167/55),0.11(6/55),0.15(8/55),27%(14/51),38%(153/400), ,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=534&PlayerID=4705&ID=78
Budim Josip,06/06/1997,192cm,Wing-spiker,2.91(157/54),0.02(1/54),0.2(11/54),34%(96/285),37%(145/394),https://volleybox.net/josip-budim-p55022,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=1446&ID=78
Vincek Dražen,11/08/1991,202cm,Opposite,2.89(176/61),0.11(7/61),0.36(22/61),N/A,38%(147/387),https://volleybox.net/drazen-vincek-p92759,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=537&PlayerID=1052&ID=78
Glaurdić Mate,12/10/1992,197cm,Wing-spiker,2.76(204/74),0.27(20/74),0.24(18/74),46%(144/310),37%(166/445),https://volleybox.net/mate-glaurdic-p31320,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=535&PlayerID=1363&ID=78
Marković Jakov,08/07/2004,201cm,Wing-spiker,2.74(192/70),0.16(11/70),0.23(16/70),42%(166/391),35%(165/466),https://volleybox.net/jakov-markovic-p91465,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=536&PlayerID=1047&ID=78
Zelenika Hrvoje,02/02/1992,200cm,Middle-blocker,2.71(206/76),0.16(12/76),0.7(53/76),0%(0/6),56%(141/252),https://volleybox.net/hrvoje-zelenika-p38385,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=537&PlayerID=1064&ID=78
Da Silva Santos Pedro Luiz,25/02/1994,N/A,Middle-blocker,2.68(212/79),0.19(15/79),0.56(44/79),60%(18/30),57%(153/267), ,BRA,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=528&PlayerID=4982&ID=78
Pribanić Josip,22/04/1995,194cm,Wing-spiker,2.67(171/64),0.19(12/64),0.25(16/64),50%(164/330),36%(143/395),https://volleybox.net/josip-pribanic-p86883,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=1505&ID=78
Stevanović Radiša,29/03/1990,203cm,Middle-blocker,2.62(204/78),0.18(14/78),0.72(56/78),57%(4/7),84%(268/318),https://volleybox.net/radisa-stevanovic-p56216,SRB,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=4773&ID=78
Bogdanović Davor,19/01/1991,186cm,Wing-spiker,2.57(177/69),0.41(28/69),0.12(8/69),53%(126/238),45%(141/315),https://volleybox.net/davor-bogdanovic-p150334,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=528&PlayerID=1010&ID=78
Jurić Petar,07/07/1994,200cm,Middle-blocker,2.56(23/9),0.44(4/9),0.11(1/9),42%(28/66),45%(18/40),https://volleybox.net/petar-juric-p31198,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=1449&ID=78
Juras Antonio,05/11/1997,184cm,Wing-spiker,2.54(155/61),0.13(8/61),0.16(10/61),44%(111/254),38%(137/362),https://volleybox.net/antonio-juras-p92761,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=537&PlayerID=1055&ID=78
Šarčević Sven,06/12/1990,181cm,Libero,2.51(123/49),0.12(6/49),0.27(13/49),60%(116/192),41%(104/254),https://volleybox.net/sven-sarcevic-p3277,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=534&PlayerID=749&ID=78
Brčić Dominik,17/09/1997,199cm,Middle-blocker,2.47(121/49),0.16(8/49),0.73(36/49),44%(4/9),37%(77/209),https://volleybox.net/dominik-brcic-p92741,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=1269&ID=78
Cvijović Duje,14/12/2003,200cm,Opposite,2.41(99/41),0.12(5/41),0.41(17/41),0%(0/1),44%(77/175),https://volleybox.net/duje-cvijovic-p31740,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=532&PlayerID=3519&ID=78
Đirlić Ivan,29/05/2001,195cm,Wing-spiker,2.41(147/61),0.23(14/61),0.23(14/61),56%(143/256),45%(119/262),https://volleybox.net/ivan-irlic-p31731,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=528&PlayerID=1221&ID=78
Daca Benjamin,23/06/1994,203cm,Middle-blocker,2.38(176/74),0.22(16/74),1.23(91/74),40%(6/15),72%(138/190),https://volleybox.net/benjamin-daca-p32896,SRB,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=532&PlayerID=4979&ID=78
Gajić Tihomir,13/10/1993,203cm,Middle-blocker,2.32(123/53),0.13(7/53),0.74(39/53),71%(10/14),75%(154/204),https://volleybox.net/tihomir-gajic-p24567,BIH,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=4167&ID=78
Stanković Stanko,10/07/1997,194cm,Wing-spiker,2.31(81/35),0.06(2/35),0.2(7/35),54%(92/170),47%(72/152),https://volleybox.net/stanko-stankovic-p10960,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=994&ID=78
Verasto Tibor,17/07/2004,194cm,Opposite,2.31(74/32),0.16(5/32),0.38(12/32),N/A,45%(57/127),https://volleybox.net/tibor-verasto-p111989,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=528&PlayerID=4646&ID=78
Čargonja Vid,07/06/2004,188cm,Outside Hitter,2.3(122/53),0.13(7/53),0.19(10/53),33%(91/280),32%(105/328),https://volleybox.net/vid-cargonja-p91473,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=529&PlayerID=1934&ID=78
Ćosić Ivan,21/02/1984,202cm,Middle-blocker,2.3(161/70),0.07(5/70),0.46(32/70),21%(4/19),46%(124/270),https://volleybox.net/ivan-cosic-p1988,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=535&PlayerID=1071&ID=78
Alić Livio,23/03/1997,188cm,Outside Hitter,2.3(108/47),0.17(8/47),0.19(9/47),43%(120/278),32%(91/281),https://volleybox.net/livio-alic-p92784,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=534&PlayerID=1116&ID=78
Barišić Anto,19/08/1995,192cm,Wing-spiker,2.19(81/37),0.11(4/37),0.3(11/37),47%(100/211),38%(66/173),https://volleybox.net/anto-barisic-p11376,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=3619&ID=78
Dugandžić Ivan,17/06/2006,185cm,Wing-spiker,2.17(52/24),0.21(5/24),0.08(2/24),46%(62/134),44%(45/102),https://volleybox.net/ivan-dugandzic-p92010,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=528&PlayerID=3606&ID=78
Mičetić Teo,21/03/2006,N/A,Setter,2.11(148/70),0.14(10/70),0.31(22/70),0%(0/2),33%(116/350),https://volleybox.net/teo-micetic-p92651,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=529&PlayerID=4125&ID=78
Omašić Ivan,25/12/2006,190cm,Wing-spiker,2.08(154/74),0.22(16/74),0.18(13/74),33%(187/562),38%(125/329),https://volleybox.net/ivan-omasic-p101302,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=535&PlayerID=4170&ID=78
Šućur Kristijan,23/12/1993,196cm,Middle-blocker,2.08(162/78),0.15(12/78),0.53(41/78),33%(2/6),73%(218/297),https://volleybox.net/kristijan-sucur-p10963,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=537&PlayerID=987&ID=78
Viloria Marquez Paul Alejandro,30/06/1995,205cm,Middle-blocker,2.02(184/91),0.2(18/91),0.55(50/91),55%(16/29),73%(232/314),https://volleybox.net/paul-viloria-p27206,VEN,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=528&PlayerID=4180&ID=78
Maruna Patrik,15/09/2001,197cm,Middle-blocker,2(146/73),0.19(14/73),0.44(32/73),33%(4/12),68%(200/294),https://volleybox.net/patrik-maruna-p66013,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=536&PlayerID=1048&ID=78
Lučić Mislav,16/06/1997,190cm,Wing-spiker,1.98(107/54),0.13(7/54),0.19(10/54),51%(114/223),40%(90/223),https://volleybox.net/mislav-lucic-p151087,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=537&PlayerID=1265&ID=78
Jurlin Dino,11/04/1988,197cm,Middle-blocker,1.96(102/52),0.08(4/52),0.67(35/52),0%(0/3),36%(63/177),https://volleybox.net/dino-jurlin-p66015,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=536&PlayerID=1034&ID=78
Grbavica Roko,12/03/2004,199cm,Wing-spiker,1.78(16/9),0.11(1/9),0.11(1/9),33%(4/12),75%(28/37),https://volleybox.net/roko-grbavica-p84757,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=4138&ID=78
Karačić Mislav,29/10/2003,196cm,Middle-blocker,1.77(69/39),0.13(5/39),0.69(27/39),57%(4/7),62%(74/119),https://volleybox.net/mislav-karacic-p91464,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=1515&ID=78
Duraković Arnel,09/03/1994,199cm,Middle-blocker,1.74(61/35),0.17(6/35),0.37(13/35),0%(0/2),74%(84/113),https://volleybox.net/arnel-durakovic-p92783,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=534&PlayerID=1118&ID=78
Dumić Tomo,18/10/2000,N/A,Wing-spiker,1.73(76/44),0.14(6/44),0.2(9/44),38%(83/221),30%(61/201),https://volleybox.net/tomo-dumic-p92736,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=4194&ID=78
Sponza Gianluca,18/08/1998,194cm,Middle-blocker,1.72(112/65),0.26(17/65),0.58(38/65),57%(4/7),63%(114/180),https://volleybox.net/gianluca-sponza-p92717,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=533&PlayerID=1105&ID=78
Šarar Ivan,07/10/2003,N/A,Libero,1.72(103/60),0.07(4/60),0.1(6/60),46%(162/350),38%(93/248),https://volleybox.net/ivan-sarar-p92785,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=534&PlayerID=2334&ID=78
Babić Lovre,18/01/1999,189cm,Outside Hitter,1.65(76/46),0.11(5/46),0.2(9/46),42%(64/152),26%(62/240),https://volleybox.net/lovre-babic-p92649,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=529&PlayerID=1041&ID=78
Matošević Domagoj,05/07/1999,201cm,Middle-blocker,1.62(52/32),0.03(1/32),0.53(17/32),50%(2/4),81%(68/83),https://volleybox.net/domagoj-matosevic-p104430,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=4725&ID=78
Senčar Fran,28/12/1999,N/A,Middle-blocker,1.61(98/61),0.03(2/61),0.54(33/61),40%(2/5),63%(126/199),https://volleybox.net/fran-sencar-p92782,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=534&PlayerID=4620&ID=78
Kovačević Andrej,08/07/1998,188cm,Middle-blocker,1.6(120/75),0.07(5/75),0.56(42/75),0%(0/5),66%(146/218),https://volleybox.net/andrej-kovacevic-p92019,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=533&PlayerID=1450&ID=78
Vlašić Roko,11/03/2004,193cm,Wing-spiker,1.6(67/42),0.24(10/42),0.29(12/42),45%(78/172),34%(45/132),https://volleybox.net/roko-vlasic-p31732,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=2043&ID=78
Vaško Antonio,08/08/2002,199cm,Middle-blocker,1.57(36/23),0.09(2/23),0.57(13/23),0%(0/2),73%(42/57),https://volleybox.net/antonio-vasko-p73505,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=1121&ID=78
Kuruc Ivan,23/04/2003,199cm,Middle-blocker,1.57(72/46),0.13(6/46),0.59(27/46),0%(0/8),64%(78/121),https://volleybox.net/ivan-kuruc-p77832,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=1525&ID=78
Skočić Dejan,09/05/1983,201cm,Middle-blocker,1.55(34/22),0.0(0/22),0.55(12/22),0%(0/1),56%(44/78),https://volleybox.net/dejan-skocic-p58947,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=535&PlayerID=1084&ID=78
Pejić Karlo,08/09/2003,N/A,Outside Hitter,1.5(3/2),0.0(0/2),0.5(1/2),22%(2/9),29%(2/7),https://volleybox.net/karlo-pejic-p92722,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=1279&ID=78
Jakoliš Matko,14/05/2003,194cm,Wing-spiker,1.5(12/8),0.25(2/8),0.12(1/8),64%(18/28),38%(9/24),https://volleybox.net/matko-jakolis-p84762,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=3597&ID=78
Kovačević Marko,18/10/2001,N/A,Libero,1.49(73/49),0.1(5/49),0.06(3/49),46%(135/296),32%(65/204),https://volleybox.net/marko-kovacevic-p118541,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=1089&ID=78
Despotović Boris,14/03/1997,183cm,Opposite,1.46(57/39),0.21(8/39),0.15(6/39),44%(24/54),32%(43/133),https://volleybox.net/boris-despotovic-p92699,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=533&PlayerID=1106&ID=78
Barać Bruno,11/06/2004,198cm,Middle-blocker,1.45(106/73),0.19(14/73),0.67(49/73),52%(12/23),70%(86/122),https://volleybox.net/bruno-barac-p59182,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=532&PlayerID=3591&ID=78
Kuljanac Fran,06/10/2002,N/A,Wing-spiker,1.42(64/45),0.16(7/45),0.13(6/45),45%(93/205),37%(51/139),https://volleybox.net/fran-kuljanac-p54639,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=3526&ID=78
Pejanović Ivan,03/01/2006,190cm,Wing-spiker,1.4(35/25),0.04(1/25),0.0(0/25),34%(38/113),31%(34/109),https://volleybox.net/ivan-pejanovic-p66646,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=3603&ID=78
Perić Luka,03/02/2001,195cm,Universal,1.39(53/38),0.16(6/38),0.34(13/38),40%(2/5),60%(68/112),https://volleybox.net/luka-peric-p34636,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=1035&ID=78
Barić Ivan,27/05/2002,191cm,Setter,1.37(111/81),0.56(45/81),0.3(24/81),0%(0/8),61%(84/136),https://volleybox.net/ivan-baric-p45359,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=535&PlayerID=1486&ID=78
Šimić Leo,28/10/2001,N/A,Middle-blocker,1.37(26/19),0.11(2/19),0.05(1/19),38%(29/77),33%(23/69),https://volleybox.net/leo-simic-p92779,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=534&PlayerID=1125&ID=78
Grgić Matko,17/10/2001,N/A,Middle-blocker,1.33(96/72),0.11(8/72),0.44(32/72),28%(2/7),64%(112/175),https://volleybox.net/matko-grgic-p118545,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=1944&ID=78
Pavlović Fran,30/05/1997,189cm,Middle-blocker,1.32(50/38),0.03(1/38),0.34(13/38),0%(0/2),75%(72/95),https://volleybox.net/fran-pavlovic-p62516,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=530&PlayerID=995&ID=78
Devald Tin,21/12/2005,185cm,Setter,1.3(91/70),0.13(9/70),0.69(48/70),0%(0/5),70%(68/97),https://volleybox.net/tin-devald-p72948,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=1264&ID=78
Jakopec Sven,27/02/2005,204cm,Middle-blocker,1.29(81/63),0.21(13/63),0.41(26/63),66%(10/15),71%(84/117),https://volleybox.net/sven-jakopec-p84758,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=4168&ID=78
Kulušić Ivan,27/08/1997,197cm,Middle-blocker,1.25(5/4),0.5(2/4),0.25(1/4),N/A,100%(4/4),https://volleybox.net/ivan-kulusic-p135497,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=532&PlayerID=1375&ID=78
Nejić Milutin,10/01/1996,190cm,Outside Hitter,1.25(5/4),0.0(0/4),0.0(0/4),47%(8/17),66%(10/15),https://volleybox.net/milutin-nejic-p19459,SRB,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=532&PlayerID=5124&ID=78
Vakufac Jasmin,30/06/1994,191cm,Setter,1.25(76/61),0.16(10/61),0.44(27/61),0%(0/5),72%(78/107),https://volleybox.net/jasmin-vakufac-p92787,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=534&PlayerID=1114&ID=78
Šćepanović Matija,21/11/1996,N/A,Opposite,1.23(27/22),0.09(2/22),0.14(3/22),0%(0/2),28%(22/78), ,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=533&PlayerID=4735&ID=78
Blaslov Luka,26/12/2004,190cm,Wing-spiker,1.22(79/65),0.11(7/65),0.2(13/65),40%(127/316),30%(59/198),https://volleybox.net/luka-blaslov-p91468,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=536&PlayerID=1042&ID=78
Klisović Marko,03/11/2001,N/A,Wing-spiker,1.21(51/42),0.12(5/42),0.02(1/42),26%(48/184),32%(45/139),https://volleybox.net/marko-klisovic-p150790,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=535&PlayerID=1069&ID=78
Klasnić Matija,17/09/2003,N/A,Middle-blocker,1.18(20/17),0.12(2/17),0.71(12/17),0%(0/1),42%(12/28),https://volleybox.net/matija-klasnic-p92720,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=4204&ID=78
Mezak Rene,10/11/2001,186cm,Middle-blocker,1.17(84/72),0.06(4/72),0.32(23/72),0%(0/2),74%(114/153),https://volleybox.net/rene-mezak-p34641,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=530&PlayerID=1224&ID=78
Lasić Luka,07/01/1992,188cm,Middle-blocker,1.14(83/73),0.11(8/73),0.45(33/73),62%(10/16),64%(84/131),https://volleybox.net/luka-lasic-p62523,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=529&PlayerID=1005&ID=78
Šoš Dino,08/01/2005,195cm,Middle-blocker,1.12(9/8),0.12(1/8),0.38(3/8),N/A,58%(10/17),https://volleybox.net/dino-sos-p91470,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=528&PlayerID=4181&ID=78
Gudelj Ivan,14/05/1997,N/A,Middle-blocker,1.1(75/68),0.25(17/68),0.28(19/68),40%(28/70),69%(78/112),https://volleybox.net/ivan-gudelj-p150574,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=535&PlayerID=1079&ID=78
Kozlica Mario,28/07/2000,N/A,Opposite,1.1(11/10),0.0(0/10),0.0(0/10),0%(0/5),30%(11/37),https://volleybox.net/mario-kozlica-p150881,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=535&PlayerID=1551&ID=78
Dumbović Filip,15/10/1990,N/A,Universal,1.09(38/35),0.2(7/35),0.11(4/35),27%(12/43),53%(54/101),https://volleybox.net/filip-dumbovic-p150429,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=531&PlayerID=1263&ID=78
Žeželić Franko,10/07/2002,N/A,Middle-blocker,1.06(71/67),0.15(10/67),0.55(37/67),0%(0/2),63%(48/76),https://volleybox.net/franko-zezelic-p92647,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=529&PlayerID=1513&ID=78
Dolgopolov Dmytro,14/09/1993,193cm,Setter,1.04(72/69),0.19(13/69),0.54(37/69),0%(0/6),69%(44/63),https://volleybox.net/dmytro-dolgopolov-p13731,UKR,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=4722&ID=78
Novak Hrvoje,30/07/1998,186cm,Opposite,1.04(28/27),0.11(3/27),0.0(0/27),32%(8/25),62%(50/80),https://volleybox.net/hrvoje-novak-p92764,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=537&PlayerID=1058&ID=78
Šango Roko,17/08/2004,N/A,Middle-blocker,1(1/1),1(1/1),0.0(0/1),N/A,N/A, ,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=536&PlayerID=5270&ID=78
Maglica Lovro,18/12/2004,187cm,Setter,0.69(44/64),0.28(18/64),0.23(15/64),0%(0/3),57%(22/38),https://volleybox.net/lovro-maglica-p79613,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=529&PlayerID=1938&ID=78
Junaković Hrvoje,13/07/2004,188cm,Setter,0.4(2/5),0.2(1/5),0.2(1/5),N/A,N/A,https://volleybox.net/hrvoje-junakovic-p104533,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=528&PlayerID=976&ID=78
Strugar Rajko,11/04/1995,193cm,Setter,0.8(60/75),0.19(14/75),0.2(15/75),0%(0/8),65%(62/95),https://volleybox.net/rajko-strugar-p2609,MNE,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=532&PlayerID=4715&ID=78
Ivić Ivo,01/05/2000,188cm,Setter,0.85(29/34),0.18(6/34),0.35(12/34),N/A,81%(22/27),https://volleybox.net/ivo-ivic-p31735,BIH,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=526&PlayerID=2047&ID=78
Begić Belmin,28/06/1995,193cm,Setter,0.9(35/39),0.15(6/39),0.38(15/39),0%(0/2),59%(28/47),https://volleybox.net/belmin-begic-p33283,BIH,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=5346&ID=78
Grgić Ante,07/12/2005,185cm,Wing-spiker,0.96(27/28),0.14(4/28),0.0(0/28),41%(45/110),22%(23/103),https://volleybox.net/ante-grgic-p78819,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=527&PlayerID=3602&ID=78
Poropat Roko,03/03/2001,186cm,Opposite,0.8(28/35),0.14(5/35),0.06(2/35),35%(38/109),43%(42/97),https://volleybox.net/roko-poropat-p34634,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=533&PlayerID=1103&ID=78
Garchet Hiago Antunes,21/08/1993,198cm,Setter,0.86(76/88),0.14(12/88),0.34(30/88),0%(0/3),70%(68/96),https://volleybox.net/hiago-garchet-p6107,BRA,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=528&PlayerID=4713&ID=78
Doljanin Bruno,09/05/2006,N/A,Wing-spiker,0.88(28/32),0.12(4/32),0.22(7/32),25%(4/16),36%(34/92), ,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=535&PlayerID=4701&ID=78
Fatorić Andrea,30/07/2001,200cm,Opposite,0.89(8/9),0.0(0/9),0.33(3/9),N/A,19%(5/27),https://volleybox.net/andrea-fatoric-p92710,CRO,https://hos-web.dataproject.com/PlayerDetails.aspx?TeamID=533&PlayerID=4135&ID=78
ASPIOTIS Anastasios,19/03/1991,201cm,Opposite,5.64(62/11),N/A,0.36(4/11),N/A,55%(58/105),https://volleybox.net/anastasios-aspiotis-p541,GRE,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=420&PlayerID=5296&ID=43
GJORGIEV Nikola,23/07/1988,197cm,Opposite,4.75(152/32),0.19(6/32),N/A,N/A,56%(143/255),https://volleybox.net/nikola-gjorgiev-p735,MKD,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=415&PlayerID=5022&ID=43
CZERWIŃSKI Michael,07/09/2003,206cm,Opposite,4.7(94/20),0.55(11/20),0.7(14/20),N/A,48%(69/145),https://volleybox.net/michael-czerwinski-p34211,AUT,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=423&PlayerID=4350&ID=43
DONIK Žiga,21/09/1995,193cm,Wing-spiker,4.54(177/39),0.13(5/39),0.31(12/39),56%(145/259),54%(160/295),https://volleybox.net/ziga-donik-p32234,SLO,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=418&PlayerID=2916&ID=43
GERGELY Marek,26/04/1999,195cm,Wing-spiker,4.48(121/27),0.52(14/27),0.22(6/27),47%(77/163),47%(101/215),https://volleybox.net/marek-gergely-p61179,SVK,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=425&PlayerID=5019&ID=43
SOSA SIERRA Luis Tomas,18/05/1995,196cm,Wing-spiker,4.43(124/28),0.36(10/28),0.18(5/28),45%(99/218),58%(109/187),https://volleybox.net/luis-tomas-sosa-p3698,CUB,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=417&PlayerID=5244&ID=43
VUKOVIĆ Danilo,20/06/2000,200cm,Opposite,4.35(161/37),0.32(12/37),0.22(8/37),N/A,47%(141/303),https://volleybox.net/danilo-vukovic-p59180,BIH,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=424&PlayerID=5314&ID=43
SZAREK Lukasz Janusz,22/02/1990,200cm,Opposite,4.2(84/20),0.15(3/20),0.5(10/20),N/A,42%(71/168),https://volleybox.net/lukasz-szarek-p854,POL,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=425&PlayerID=4105&ID=43
VISKUP Tobiáš,07/10/2002,199cm,Opposite,3.97(139/35),0.4(14/35),0.46(16/35),N/A,38%(109/284),https://volleybox.net/tobias-viskup-p82415,SVK,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=421&PlayerID=3903&ID=43
McCONNEL Connor,24/08/1998,N/A,Opposite,3.84(165/43),0.37(16/43),0.19(8/43),N/A,46%(141/308), ,CAN,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=418&PlayerID=5290&ID=43
MEČIAR Marek,20/11/1996,197cm,Wing-spiker,3.71(104/28),0.21(6/28),0.21(6/28),52%(70/134),48%(92/190),https://volleybox.net/marek-meciar-p54603,SVK,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=422&PlayerID=3305&ID=43
BRAČKO Rok,21/04/2004,194cm,Wing-spiker,3.65(135/37),0.38(14/37),0.32(12/37),49%(88/180),44%(109/247),https://volleybox.net/rok-bracko-p32235,SLO,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=418&PlayerID=4159&ID=43
HOUSE Logan,06/10/1999,195cm,Wing-spiker,3.64(80/22),0.18(4/22),0.18(4/22),34%(37/108),46%(72/157),https://volleybox.net/logan-house-p104393,CAN,https://mevza-web.dataproject.com/PlayerDetails.aspx?TeamID=423&PlayerID=5255&ID=43
